Rank,Title,Adj. Lifetime Gross,Lifetime Gross,Est. Num Tickets,Year
106,The Hunger Games: Catching Fire,"$478,943,802 ","$424,668,047 ","51,114,600",2013
107,Duel in the Sun,"$478,061,148 ","$20,408,163 ","51,020,400",1946
108,Frozen II,"$477,373,390 ","$477,373,578 ","50,947,000",2019
109,The Hunger Games,"$476,589,121 ","$408,010,692 ","50,863,300",2012
110,Pirates of the Caribbean: The Curse of the Black Pearl,"$474,580,193 ","$305,413,918 ","50,648,900",2003
111,House of Wax,"$473,483,903 ","$23,750,000 ","50,531,900",1953
112,Rear Window,"$471,823,539 ","$36,764,313 ","50,354,700",1954
113,The Lost World: Jurassic Park,"$467,656,700 ","$229,086,679 ","49,910,000",1997
114,"Monsters, Inc.","$463,113,187 ","$290,642,256 ","49,425,100",2001
115,Indiana Jones and the Last Crusade,"$463,032,605 ","$197,171,806 ","49,416,500",1989
116,Frozen,"$459,728,743 ","$400,953,009 ","49,063,900",2013
117,Spider-Man 3,"$458,326,991 ","$336,530,303 ","48,914,300",2007
118,Iron Man 3,"$457,717,941 ","$409,013,994 ","48,849,300",2013
119,Terminator 2: Judgment Day,"$456,999,262 ","$205,881,154 ","48,772,600",1991
120,Harry Potter and the Deathly Hallows: Part 2,"$451,701,464 ","$381,447,587 ","48,207,200",2011
121,Toy Story 4,"$451,340,719 ","$434,038,008 ","48,168,700",2019
122,How the Grinch Stole Christmas,"$451,054,934 ","$260,715,005 ","48,138,200",2000
123,Sergeant York,"$450,914,384 ","$16,361,885 ","48,123,200",1941
124,Top Gun,"$450,043,911 ","$180,258,178 ","48,030,300",1986
125,Toy Story,"$449,576,348 ","$223,225,679 ","47,980,400",1995
126,Toy Story 2,"$448,228,005 ","$245,852,179 ","47,836,500",1999
127,Captain Marvel,"$443,884,073 ","$426,829,839 ","47,372,900",2019
128,Shrek,"$443,112,922 ","$268,163,011 ","47,290,600",2001
129,Shrek the Third,"$439,518,590 ","$322,719,944 ","46,907,000",2007
130,Despicable Me 2,"$439,397,717 ","$368,065,385 ","46,894,100",2013
131,Captain America: Civil War,"$438,096,224 ","$408,084,349 ","46,755,200",2016
132,The Matrix Reloaded,"$437,540,583 ","$281,576,461 ","46,695,900",2003
133,Transformers,"$434,787,677 ","$319,246,193 ","46,402,100",2007
134,Crocodile Dundee,"$432,917,425 ","$174,803,506 ","46,202,500",1986
135,Wonder Woman,"$432,354,288 ","$412,845,172 ","46,142,400",2017
136,Jurassic World: Fallen Kingdom,"$430,497,154 ","$417,719,760 ","45,944,200",2018
137,The Four Horsemen of the Apocalypse,"$430,255,408 ","$9,183,673 ","45,918,400",1921
138,Saving Private Ryan,"$429,179,732 ","$217,049,603 ","45,803,600",1998
139,Young Frankenstein,"$427,715,201 ","$86,273,333 ","45,647,300",1974
140,Peter Pan,"$427,492,195 ","$87,404,651 ","45,623,500",1953
141,Gremlins,"$426,463,369 ","$153,642,180 ","45,513,700",1984
142,Harry Potter and the Goblet of Fire,"$425,336,158 ","$290,469,928 ","45,393,400",2005
143,Beauty and the Beast,"$425,057,869 ","$218,967,620 ","45,363,700",1991
144,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$423,300,994 ","$291,710,957 ","45,176,200",2005
145,Harry Potter and the Chamber of Secrets,"$422,965,548 ","$262,641,637 ","45,140,400",2002
146,Pirates of the Caribbean: At World's End,"$421,405,443 ","$309,420,425 ","44,973,900",2007
147,The Fugitive,"$416,002,701 ","$183,875,760 ","44,397,300",1993
148,Iron Man,"$415,951,166 ","$319,034,126 ","44,391,800",2008
149,The Caine Mutiny,"$415,913,686 ","$21,750,000 ","44,387,800",1954
150,Transformers: Dark of the Moon,"$414,724,633 ","$352,390,543 ","44,260,900",2011
151,Meet the Fockers,"$413,901,010 ","$279,261,160 ","44,173,000",2004
152,Indiana Jones and the Kingdom of the Crystal Skull,"$413,821,365 ","$317,101,119 ","44,164,500",2008
153,Jumanji: Welcome to the Jungle,"$413,515,903 ","$404,540,171 ","44,131,900",2017
154,2001: A Space Odyssey,"$409,683,573 ","$60,481,243 ","43,722,900",1968
155,Dances with Wolves,"$409,462,441 ","$184,208,848 ","43,699,300",1990
156,An Officer and a Gentleman,"$409,065,153 ","$129,795,554 ","43,656,900",1982
157,Guardians of the Galaxy Vol. 2,"$408,124,405 ","$389,813,101 ","43,556,500",2017
158,Spider-Man: Far from Home,"$406,098,611 ","$390,532,085 ","43,340,300",2019
159,Rain Man,"$405,643,229 ","$172,825,435 ","43,291,700",1988
160,The Secret Life of Pets,"$405,475,506 ","$368,384,330 ","43,273,800",2016
161,Guess Who's Coming to Dinner,"$405,318,090 ","$56,666,667 ","43,257,000",1967
162,American Sniper,"$403,659,600 ","$350,159,020 ","43,080,000",2014
163,Kramer vs. Kramer,"$403,099,274 ","$106,260,000 ","43,020,200",1979
164,Armageddon,"$402,726,348 ","$201,578,182 ","42,980,400",1998
165,Psycho,"$399,786,979 ","$32,000,000 ","42,666,700",1960
166,Harry Potter and the Order of the Phoenix,"$399,669,854 ","$292,382,727 ","42,654,200",2007
167,Inside Out,"$398,811,562 ","$356,921,711 ","42,562,600",2015
168,Rocky III,"$398,348,684 ","$125,049,125 ","42,513,200",1982
169,Rambo: First Blood Part II,"$397,011,585 ","$150,415,432 ","42,370,500",1985
170,Batman Forever,"$396,446,574 ","$184,069,126 ","42,310,200",1995
171,Deadpool,"$396,285,410 ","$363,070,709 ","42,293,000",2016
172,Pretty Woman,"$395,192,868 ","$178,406,268 ","42,176,400",1990
173,Earthquake,"$394,961,429 ","$79,666,653 ","42,151,700",1974
174,Alice in Wonderland,"$394,495,740 ","$334,191,110 ","42,102,000",2010
175,The Incredibles,"$393,821,100 ","$261,441,092 ","42,030,000",2004
176,Cast Away,"$392,548,654 ","$233,632,142 ","41,894,200",2000
177,Home Alone 2: Lost in New York,"$392,130,752 ","$173,585,516 ","41,849,600",1992
178,The Jungle Book,"$390,829,259 ","$364,001,123 ","41,710,700",2016
179,Three Men and a Baby,"$390,764,606 ","$167,780,960 ","41,703,800",1987
180,My Big Fat Greek Wedding,"$388,100,715 ","$241,438,208 ","41,419,500",2002
181,Guardians of the Galaxy,"$386,375,698 ","$333,718,600 ","41,235,400",2014
182,Furious 7,"$384,393,006 ","$353,007,020 ","41,023,800",2015
183,Mission: Impossible,"$383,664,957 ","$180,981,856 ","40,946,100",1996
184,The Hunger Games: Mockingjay - Part 1,"$381,611,053 ","$337,135,885 ","40,726,900",2014
185,Minions,"$381,492,054 ","$336,045,770 ","40,714,200",2015
186,Harry Potter and the Half-Blood Prince,"$381,195,025 ","$302,334,374 ","40,682,500",2009
187,Saturday Night Fever,"$380,466,039 ","$94,213,184 ","40,604,700",1977
188,On Golden Pond,"$380,274,891 ","$119,285,432 ","40,584,300",1981
189,Austin Powers: The Spy Who Shagged Me,"$380,038,767 ","$206,040,086 ","40,559,100",1999
190,Harry Potter and the Prisoner of Azkaban,"$378,596,724 ","$250,105,651 ","40,405,200",2004
191,Bruce Almighty,"$377,331,774 ","$242,829,261 ","40,270,200",2003
192,Funny Girl,"$375,170,115 ","$52,223,306 ","40,039,500",1968
193,Mission: Impossible II,"$374,469,239 ","$215,409,889 ","39,964,700",2000
194,Rush Hour 2,"$374,410,208 ","$226,164,286 ","39,958,400",2001
195,Apollo 13,"$373,466,649 ","$173,837,933 ","39,857,700",1995
196,Patton,"$373,287,682 ","$61,749,765 ","39,838,600",1970
197,Fatal Attraction,"$371,808,159 ","$156,645,693 ","39,680,700",1987
198,Iron Man 2,"$371,691,971 ","$312,433,331 ","39,668,300",2010
199,Zootopia,"$371,109,157 ","$341,268,248 ","39,606,100",2016
200,Liar Liar,"$370,330,510 ","$181,410,615 ","39,523,000",1997
Rank,,,,,
