,Inflation_Rank,Title,Adj. Domestic Lifetime Gross,Domestic Lifetime Gross,Est. Num Tickets,Year,Worldwide_Rank,Worldwide Lifetime Gross, Domestic % ,Foreign Lifetime Gross, Foreign % 
90,82,Close Encounters Of The Third Kind,"$523,996,636 ","$135,189,114 ","55,922,800",1977,497,"$306,889,114",0.44,"$171,700,000",0.56
91,83,Lady And The Tramp,"$522,236,013 ","$93,602,326 ","55,734,900",1955,0,$nan,,$nan,
92,84,Lawrence Of Arabia,"$519,444,690 ","$45,306,425 ","55,437,000",1962,0,$nan,,$nan,
93,85,The Rocky Horror Picture Show,"$516,000,278 ","$112,892,319 ","55,069,400",1975,0,$nan,,$nan,
94,86,Rocky,"$515,724,800 ","$117,235,147 ","55,040,000",1976,0,$nan,,$nan,
95,87,The Best Years Of Our Lives,"$515,350,000 ","$23,650,000 ","55,000,000",1946,0,$nan,,$nan,
96,88,Star Wars Episode Ix  The Rise Of Skywalker,"$515,202,891 ","$515,202,542 ","54,984,300",2019,34,"$1,074,149,279",0.48,"$558,946,737",0.52
97,89,The Poseidon Adventure,"$514,431,740 ","$84,563,118 ","54,902,000",1972,0,$nan,,$nan,
98,90,The Lord Of The Rings The Fellowship Of The Ring,"$513,470,378 ","$316,115,420 ","54,799,400",2001,64,"$898,094,742",0.35,"$581,979,322",0.65
99,91,Twister,"$512,427,497 ","$241,830,615 ","54,688,100",1996,224,"$494,471,524",0.49,"$252,750,000",0.51
100,92,Men In Black,"$511,758,479 ","$250,690,539 ","54,616,700",1997,171,"$589,390,539",0.43,"$338,700,000",0.57
101,93,The Bridge On The River Kwai,"$509,728,000 ","$27,200,000 ","54,400,000",1957,0,$nan,,$nan,
102,94,Transformers Revenge Of The Fallen,"$505,051,433 ","$402,111,870 ","53,900,900",2009,82,"$836,303,693",0.48,"$434,191,823",0.52
103,95,ItS A Mad Mad Mad Mad World,"$504,812,498 ","$46,332,858 ","53,875,400",1963,0,$nan,,$nan,
104,96,Swiss Family Robinson,"$504,180,960 ","$40,356,000 ","53,808,000",1960,0,$nan,,$nan,
105,97,One Flew Over The CuckooS Nest,"$503,032,198 ","$108,981,275 ","53,685,400",1975,0,$nan,,$nan,
106,98,MASH,"$503,020,954 ","$81,600,000 ","53,684,200",1970,0,$nan,,$nan,
107,99,Indiana Jones And The Temple Of Doom,"$501,602,336 ","$179,870,271 ","53,532,800",1984,442,"$333,107,271",0.54,"$153,237,000",0.46
108,100,Star Wars Episode Ii  Attack Of The Clones,"$500,999,845 ","$310,676,740 ","53,468,500",2002,146,"$653,779,970",0.48,"$343,103,230",0.52
109,101,Avengers Age Of Ultron,"$499,902,618 ","$459,005,868 ","53,351,400",2015,12,"$1,402,809,540",0.33,"$943,803,672",0.67
110,102,Toy Story 3,"$499,790,178 ","$415,004,880 ","53,339,400",2010,36,"$1,066,970,811",0.39,"$651,965,931",0.61
111,103,Mrs Doubtfire,"$493,652,828 ","$219,195,243 ","52,684,400",1993,277,"$441,286,195",0.5,"$222,090,952",0.5
112,104,Aladdin,"$491,384,351 ","$217,350,219 ","52,442,300",1992,40,"$1,050,693,953",0.34,"$695,134,737",0.66
114,105,Ghost,"$482,228,924 ","$217,631,306 ","51,465,200",1990,217,"$505,703,557",0.43,"$288,072,251",0.57
115,106,The Hunger Games Catching Fire,"$478,943,802 ","$424,668,047 ","51,114,600",2013,76,"$865,011,746",0.49,"$440,343,699",0.51
116,107,Duel In The Sun,"$478,061,148 ","$20,408,163 ","51,020,400",1946,0,$nan,,$nan,
117,108,Frozen Ii,"$477,373,390 ","$477,373,578 ","50,947,000",2019,11,"$1,450,026,933",0.33,"$972,653,355",0.67
