Title,Year,Inflation_Rank,Adj. Domestic Lifetime Gross,Est. Num Tickets,Worldwide Rank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Production Budget
Kansas City,,,,,,,,,,,"$19,000,000"
The Last Emperor,,,,,,,,,,,"$25,000,000"
Last Action Hero,,,,,,,,,,,"$85,000,000"
Live and Let Die,,,,,,,,,,,"$7,000,000"
Lage Raho Munnabhai,,,,,,,,,,,"$2,700,000"
The Last Waltz,,,,,,,,,,,"$35,000"
The Last Big Thing,,,,,,,,,,,"$1,000,000"
The Land Before Time,,,,,,,,,,,"$12,300,000"
The Longest Day,,,,,,,,,,,"$10,000,000"
The Living Daylights,,,,,,,,,,,"$40,000,000"
A Low Down Dirty Shame,,,,,,,,,,,"$10,000,000"
Love and Death on Long Island,,,,,,,,,,,"$4,030,000"
Ladyhawke,,,,,,,,,,,"$20,000,000"
Nikita,,,,,,,,,,,"$7,000,000"
Lion of the Desert,,,,,,,,,,,"$35,000,000"
Legal Eagles,,,,,,,,,,,"$40,000,000"
Legend,,,,,,,,,,,"$25,000,000"
The Last House on the Left,,,,,,,,,,,"$87,000"
Lifeforce,,,,,,,,,,,"$25,000,000"
Lady in White,,,,,,,,,,,"$4,700,000"
The Long Kiss Goodnight,,,,,,,,,,,"$65,000,000"
Lake of Fire,,,,,,,,,,,"$6,000,000"
Elling,,,,,,,,,,,"$2,100,000"
Lolita (1962),,,,,,,,,,,"$2,000,000"
Elmer Gantry,,,,,,,,,,,"$3,000,000"
El Mariachi,,,,,,,,,,,"$7,000"
Last Man Standing,,,,,,,,,,,"$67,000,000"
Aliens,,,,,,,,,,,"$17,000,000"
Alien³,,,,,,,,,,,"$55,000,000"
Love and Death,,,,,,,,,,,"$3,000,000"
Love and Other Catastrophes,,,,,,,,,,,"$250,000"
Love Letters,,,,,,,,,,,"$550,000"
The Legend of the Lone Ranger,,,,,,,,,,,"$18,000,000"
The Last of the Mohicans,,,,,,,,,,,"$40,000,000"
Love Me Tender,,,,,,,,,,,"$1,000,000"
The Long Riders,,,,,,,,,,,"$10,000,000"
Losin' It,,,,,,,,,,,"$7,000,000"
The Loss of Sexual Innocence,,,,,,,,,,,"$4,000,000"
Legends of the Fall,,,,,,,,,,,"$30,000,000"
A League of Their Own,,,,,,,,,,,"$40,000,000"
Loaded Weapon 1,,,,,,,,,,,"$13,000,000"
The Lost Weekend,,,,,,,,,,,"$1,250,000"
Le petit Nicolas,,,,,,,,,,,"$30,000,000"
Logan's Run,,,,,,,,,,,"$7,000,000"
Betty Fisher et autres histoires,,,,,,,,,,,"$7,500,000"
Light Sleeper,,,,,,,,,,,"$5,000,000"
Little Shop of Horrors,,,,,,,,,,,"$30,000,000"
Lone Star,,,,,,,,,,,"$5,000,000"
Latter Days,,,,,,,,,,,"$850,000"
Lethal Weapon,,,,,,,,,,,"$15,000,000"
Lethal Weapon 3,,,,,,,,,,,"$35,000,000"
The Last Time I Committed Suicide,,,,,,,,,,,"$4,000,000"
Little Voice,,,,,,,,,,,"$6,000,000"
The Last Temptation of Christ,,,,,,,,,,,"$7,000,000"
License to Kill,,,,,,,,,,,"$42,000,000"
Cama adentro,,,,,,,,,,,"$800,000"
Leaving Las Vegas,,,,,,,,,,,"$4,000,000"
The Lawnmower Man,,,,,,,,,,,"$10,000,000"
Lone Wolf McQuade,,,,,,,,,,,"$5,000,000"
Little Women,,,,,,,,,,,"$15,000,000"
Lawrence of Arabia,,,,,,,,,,,"$15,000,000"
Menace II Society,,,,,,,,,,,"$3,500,000"
Much Ado About Nothing,,,,,,,,,,,"$8,000,000"
Major Dundee,,,,,,,,,,,"$3,800,000"
The Magic Flute,,,,,,,,,,,"$27,000,000"
Mata Hari,,,,,,,,,,,"$558,000"
Malcolm X,,,,,,,,,,,"$35,000,000"
Maniac,,,,,,,,,,,"$350,000"
Mary Reilly,,,,,,,,,,,"$47,000,000"
Maximum Risk,,,,,,,,,,,"$25,000,000"
M*A*S*H,,,,,,,,,,,"$3,500,000"
The Mask,,,,,,,,,,,"$18,000,000"
Mars Attacks!,,,,,,,,,,,"$80,000,000"
Mo' Better Blues,,,,,,,,,,,"$10,000,000"
Moby Dick,,,,,,,,,,,"$4,500,000"
My Beautiful Laundrette,,,,,,,,,,,"$400,000"
Michael Jordan to the MAX,,,,,,,,,,,"$7,000,000"
Michael Collins,,,,,,,,,,,"$25,000,000"
My Cousin Vinny,,,,,,,,,,,"$11,000,000"
Medicine Man,,,,,,,,,,,"$40,000,000"
Madadayo,,,,,,,,,,,"$11,900,000"
Modern Problems,,,,,,,,,,,"$8,000,000"
Amadeus,,,,,,,,,,,"$18,000,000"
Modern Times,,,,,,,,,,,"$1,500,000"
The Mighty Ducks,,,,,,,,,,,"$10,000,000"
A Man for All Seasons,,,,,,,,,,,"$3,900,000"
Megaforce,,,,,,,,,,,"$18,000,000"
The Mirror Has Two Faces,,,,,,,,,,,"$42,000,000"
Midnight Cowboy,,,,,,,,,,,"$3,600,000"
Midnight Run,,,,,,,,,,,"$30,000,000"
Major League,,,,,,,,,,,"$11,000,000"
The Molly Maguires,,,,,,,,,,,"$11,000,000"
Malevolence,,,,,,,,,,,"$200,000"
Mad Max 2: The Road Warrior,,,,,,,,,,,"$2,000,000"
It's a Mad Mad Mad Mad World,,,,,,,,,,,"$9,400,000"
Mad Max,,,,,,,,,,,"$200,000"
Mad Max Beyond Thunderdome,,,,,,,,,,,"$10,000,000"
The Man From Snowy River,,,,,,,,,,,"$5,000,000"
Men of War,,,,,,,,,,,"$6,000,000"
Monty Python and the Holy Grail,,,,,,,,,,,"$400,000"
Men with Brooms,,,,,,,,,,,"$7,500,000"
Mutiny on The Bounty,,,,,,,,,,,"$19,000,000"
Mommie Dearest,,,,,,,,,,,"$5,000,000"
March or Die,,,,,,,,,,,"$7,000,000"
Memoirs of an Invisible Man,,,,,,,,,,,"$40,000,000"
The Mongol King,,,,,,,,,,,"$7,000"
My Own Private Idaho,,,,,,,,,,,"$2,500,000"
Moonraker,,,,,,,,,,,"$31,000,000"
Money Train,,,,,,,,,,,"$68,000,000"
Metropolitan,,,,,,,,,,,"$430,000"
The Life of Brian,,,,,,,,,,,"$4,000,000"
Mallrats,,,,,,,,,,,"$6,100,000"
American Desi,,,,,,,,,,,"$250,000"
Mrs. Winterbourne,,,,,,,,,,,"$25,000,000"
Mrs. Doubtfire,,,,,,,,,,,"$25,000,000"
Mr. Smith Goes To Washington,,,,,,,,,,,"$1,500,000"
Mortal Kombat,,,,,,,,,,,"$20,000,000"
Frankenstein,,,,,,,,,,,"$45,000,000"
The Misfits,,,,,,,,,,,"$4,000,000"
My Stepmother Is an Alien,,,,,,,,,,,"$16,000,000"
The Man Who Shot Liberty Valance,,,,,,,,,,,"$3,200,000"
Mission: Impossible,,,,,,,,,,,"$80,000,000"
Meteor,,,,,,,,,,,"$16,000,000"
Multiplicity,,,,,,,,,,,"$45,000,000"
Mutual Appreciation,,,,,,,,,,,"$30,000"
The Muppet Christmas Carol,,,,,,,,,,,"$12,000,000"
The Man with the Golden Gun,,,,,,,,,,,"$7,000,000"
Mystic Pizza,,,,,,,,,,,"$6,000,000"
Namastey London,,,,,,,,,,,"$8,400,000"
Naturally Native,,,,,,,,,,,"$700,000"
Inchon,,,,,,,,,,,"$46,000,000"
Indiana Jones and the Temple of Doom,,,,,,,,,,,"$28,000,000"
Indiana Jones and the Last Crusade,,,,,,,,,,,"$48,000,000"
Neal n' Nikki,,,,,,,,,,,"$1,300,000"
A Nightmare on Elm Street 4: The Dream Master,,,,,,,,,,,"$13,000,000"
"Next Stop, Wonderland",,,,,,,,,,,"$1,000,000"
Nighthawks,,,,,,,,,,,"$5,000,000"
The English Patient,,,,,,,,,,,"$35,000,000"
Niagara,,,,,,,,,,,"$1,250,000"
The Naked Gun 2Ω: The Smell of Fear,,,,,,,,,,,"$23,000,000"
Naked Gun 33 1/3: The Final Insult,,,,,,,,,,,"$30,000,000"
National Lampoon's Animal House,,,,,,,,,,,"$3,000,000"
Night of the Living Dead,,,,,,,,,,,"$114,000"
Night of the Living Dead,,,,,,,,,,,"$4,200,000"
No Looking Back,,,,,,,,,,,"$5,000,000"
The Nun's Story,,,,,,,,,,,"$3,500,000"
A Nightmare on Elm Street,,,,,,,,,,,"$1,800,000"
A Nightmare on Elm Street,,,,,,,,,,,"$35,000,000"
A Nightmare On Elm Street Part 2: Freddy's Revenge,,,,,,,,,,,"$3,000,000"
A Nightmare On Elm Street 3: Dream Warriors,,,,,,,,,,,"$5,000,000"
A Nightmare On Elm Street: The Dream Child,,,,,,,,,,,"$6,000,000"
Freddy's Dead: The Final Nightmare,,,,,,,,,,,"$5,000,000"
Wes Craven's New Nightmare,,,,,,,,,,,"$8,000,000"
Notorious,,,,,,,,,,,"$2,000,000"
Notorious,,,,,,,,,,,"$19,000,000"
Never Say Never Again,,,,,,,,,,,"$36,000,000"
The Nutcracker,,,,,,,,,,,"$19,000,000"
Nowhere to Run,,,,,,,,,,,"$15,000,000"
Interview with the Vampire: The Vampire Chronicles,,,,,,,,,,,"$50,000,000"
The Nutty Professor,,,,,,,,,,,"$55,000,000"
Die Unendliche Geschichte,,,,,,,,,,,"$27,000,000"
Interview with the Assassin,,,,,,,,,,,"$750,000"
Nixon,,,,,,,,,,,"$45,000,000"
"New York, New York",,,,,,,,,,,"$14,000,000"
New York Stories,,,,,,,,,,,"$15,000,000"
Obitaemyy ostrov,,,,,,,,,,,"$36,500,000"
Octopussy,,,,,,,,,,,"$27,500,000"
On Deadly Ground,,,,,,,,,,,"$50,000,000"
One Flew Over the Cuckoo's Nest,,,,,,,,,,,"$4,400,000"
The Offspring,,,,,,,,,,,"$1,100,000"
On Her Majesty's Secret Service,,,,,,,,,,,"$8,000,000"
The Omen,,,,,,,,,,,"$2,800,000"
The Omen,,,,,,,,,,,"$25,000,000"
The Omega Code,,,,,,,,,,,"$7,200,000"
Out of Africa,,,,,,,,,,,"$31,000,000"
Out of the Dark,,,,,,,,,,,"$1,600,000"
Ordinary People,,,,,,,,,,,"$6,000,000"
The Other Side of Heaven,,,,,,,,,,,"$7,000,000"
On the Down Low,,,,,,,,,,,"$10,000"
Othello,,,,,,,,,,,"$11,000,000"
On the Outs,,,,,,,,,,,"$250,000"
On the Waterfront,,,,,,,,,,,"$910,000"
Outbreak,,,,,,,,,,,"$50,000,000"
The Outsiders,,,,,,,,,,,"$10,000,000"
The Oxford Murders,,,,,,,,,,,"$10,000,000"
Police Academy,,,,,,,,,,,"$4,500,000"
Police Academy 7: Mission to Moscow,,,,,,,,,,,"$10,000,000"
Paa,,,,,,,,,,,"$4,300,000"
Pale Rider,,,,,,,,,,,"$6,900,000"
Patriot Games,,,,,,,,,,,"$45,000,000"
The Pallbearer,,,,,,,,,,,"$8,000,000"
Pocahontas,,,,,,,,,,,"$55,000,000"
Pocketful of Miracles,,,,,,,,,,,"$2,900,000"
PCU,,,,,,,,,,,"$9,000,000"
Pete's Dragon,,,,,,,,,,,"$10,000,000"
Pat Garrett and Billy the Kid,,,,,,,,,,,"$4,638,783"
Poltergeist,,,,,,,,,,,"$10,700,000"
Poltergeist III,,,,,,,,,,,"$9,500,000"
Phantasm II,,,,,,,,,,,"$3,000,000"
Phenomenon,,,,,,,,,,,"$32,000,000"
Philadelphia,,,,,,,,,,,"$26,000,000"
The Phantom,,,,,,,,,,,"$45,000,000"
Pi,,,,,,,,,,,"$68,000"
Pink Flamingos,,,,,,,,,,,"$12,000"
The Pirate,,,,,,,,,,,"$3,700,000"
The Planet of the Apes,,,,,,,,,,,"$5,800,000"
The Player,,,,,,,,,,,"$8,000,000"
Platoon,,,,,,,,,,,"$6,000,000"
Panic,,,,,,,,,,,"$1,000,000"
The Adventures of Pinocchio,,,,,,,,,,,"$25,000,000"
Pandora's Box,,,,,,,,,,,"$800,000"
Pink Narcissus,,,,,,,,,,,"$27,000"
Penitentiary,,,,,,,,,,,"$100,000"
The Pursuit of D.B. Cooper,,,,,,,,,,,"$12,000,000"
Poetic Justice,,,,,,,,,,,"$14,000,000"
Porky's,,,,,,,,,,,"$4,000,000"
"Peace, Propaganda and the Promised Land",,,,,,,,,,,"$70,000"
Popeye,,,,,,,,,,,"$20,000,000"
Predator 2,,,,,,,,,,,"$35,000,000"
Predator,,,,,,,,,,,"$18,000,000"
The Princess Bride,,,,,,,,,,,"$15,000,000"
Prison,,,,,,,,,,,"$4,000,000"
LÈon,,,,,,,,,,,"$16,000,000"
Prophecy,,,,,,,,,,,"$12,000,000"
The Prince of Tides,,,,,,,,,,,"$30,000,000"
Proud,,,,,,,,,,,"$1,000,000"
Partition,,,,,,,,,,,"$10,000,000"
The Postman Always Rings Twice,,,,,,,,,,,"$12,000,000"
Peggy Sue Got Married,,,,,,,,,,,"$18,000,000"
Pet Sematary,,,,,,,,,,,"$11,500,000"
The Puffy Chair,,,,,,,,,,,"$15,000"
Pulp Fiction,,,,,,,,,,,"$8,000,000"
Paint Your Wagon,,,,,,,,,,,"$20,000,000"
The Prisoner of Zenda,,,,,,,,,,,"$12,500,000"
The Perez Family,,,,,,,,,,,"$11,000,000"
Q,,,,,,,,,,,"$1,200,000"
The Quick and the Dead,,,,,,,,,,,"$32,000,000"
Quigley Down Under,,,,,,,,,,,"$20,000,000"
La Guerre du feu,,,,,,,,,,,"$12,500,000"
Quo Vadis?,,,,,,,,,,,"$8,250,000"
Rang De Basanti,,,,,,,,,,,"$5,300,000"
Robin and Marian,,,,,,,,,,,"$5,000,000"
Ransom,,,,,,,,,,,"$70,000,000"
Rosemary's Baby,,,,,,,,,,,"$3,200,000"
Rebecca,,,,,,,,,,,"$1,288,000"
Robin Hood: Prince of Thieves,,,,,,,,,,,"$50,000,000"
Rumble in the Bronx,,,,,,,,,,,"$7,500,000"
Rob Roy,,,,,,,,,,,"$28,000,000"
Raging Bull,,,,,,,,,,,"$18,000,000"
Richard III,,,,,,,,,,,"$9,200,000"
Raising Cain,,,,,,,,,,,"$11,000,000"
RoboCop,,,,,,,,,,,"$13,000,000"
RoboCop 3,,,,,,,,,,,"$22,000,000"
Ri¢hie Ri¢h,,,,,,,,,,,"$40,000,000"
Radio Days,,,,,,,,,,,"$16,000,000"
Radio Flyer,,,,,,,,,,,"$35,000,000"
Reservoir Dogs,,,,,,,,,,,"$1,200,000"
Raiders of the Lost Ark,,,,,,,,,,,"$20,000,000"
Red River,,,,,,,,,,,"$3,000,000"
Reds,,,,,,,,,,,"$33,500,000"
Le Violon rouge,,,,,,,,,,,"$10,000,000"
Red Sonja,,,,,,,,,,,"$17,900,000"
Star Wars Ep. VI: Return of the Jedi,,,,,,,,,,,"$32,500,000"
The Return,,,,,,,,,,,"$15,000,000"
The Rise and Fall of Miss Thang,,,,,,,,,,,"$10,000"
Roger & Me,,,,,,,,,,,"$140,000"
The Right Stuff,,,,,,,,,,,"$27,000,000"
Road House,,,,,,,,,,,"$10,000,000"
Romeo Is Bleeding,,,,,,,,,,,"$10,000,000"
Rockaway,,,,,,,,,,,"$2,000,000"
Return of the Living Dead Part II,,,,,,,,,,,"$6,200,000"
The R.M.,,,,,,,,,,,"$500,000"
Renaissance Man,,,,,,,,,,,"$40,000,000"
Rambo: First Blood Part II,,,,,,,,,,,"$44,000,000"
Rambo III,,,,,,,,,,,"$58,000,000"
Romeo+Juliet,,,,,,,,,,,"$14,500,000"
Ramanujan,,,,,,,,,,,"$20,000,000"
Rapa Nui,,,,,,,,,,,"$20,000,000"
Roar,,,,,,,,,,,"$17,000,000"
The Rock,,,,,,,,,,,"$75,000,000"
The Remains of the Day,,,,,,,,,,,"$15,000,000"
Airplane!,,,,,,,,,,,"$3,500,000"
Repo Man,,,,,,,,,,,"$1,500,000"
Rocket Singh: Salesman of the Year,,,,,,,,,,,"$1,070,000"
Raise the Titanic,,,,,,,,,,,"$40,000,000"
Restoration,,,,,,,,,,,"$18,000,000"
The Return of the Living Dead,,,,,,,,,,,"$4,000,000"
Rejsen til Saturn,,,,,,,,,,,"$2,700,000"
Return to the Land of Wonders,,,,,,,,,,,"$5,000"
Return to Oz,,,,,,,,,,,"$27,000,000"
The Running Man,,,,,,,,,,,"$30,000,000"
Run Lola Run,,,,,,,,,,,"$1,750,000"
Revolution#9,,,,,,,,,,,"$350,000"
The River Wild,,,,,,,,,,,"$45,000,000"
Se7en,,,,,,,,,,,"$30,000,000"
Safe Men,,,,,,,,,,,"$1,000,000"
Secrets & Lies,,,,,,,,,,,"$4,500,000"
Sgt. Bilko,,,,,,,,,,,"$39,000,000"
Sabrina,,,,,,,,,,,"$58,000,000"
Subway,,,,,,,,,,,"$2,000,000"
School Daze,,,,,,,,,,,"$6,000,000"
Scarface,,,,,,,,,,,"$25,000,000"
Schindler's List,,,,,,,,,,,"$25,000,000"
A Streetcar Named Desire,,,,,,,,,,,"$1,800,000"
Shadow Conspiracy,,,,,,,,,,,"$45,000,000"
Short Cut to Nirvana: Kumbh Mela,,,,,,,,,,,"$200,000"
Spartacus,,,,,,,,,,,"$12,000,000"
Sunday,,,,,,,,,,,"$450,000"
She Done Him Wrong,,,,,,,,,,,"$200,000"
"Secret, The",,,,,,,,,,,"$3,500,000"
Sea Rex 3D: Journey to a Prehistoric World,,,,,,,,,,,"$5,000,000"
State Fair,,,,,,,,,,,"$4,500,000"
Sticky Fingers of Time,,,,,,,,,,,"$250,000"
Stargate - The Ark of Truth,,,,,,,,,,,"$7,000,000"
She's Gotta Have It,,,,,,,,,,,"$175,000"
Stargate,,,,,,,,,,,"$55,000,000"
The Shadow,,,,,,,,,,,"$40,000,000"
Show Boat,,,,,,,,,,,"$2,300,000"
Shadowlands,,,,,,,,,,,"$22,000,000"
Shanghai Surprise,,,,,,,,,,,"$17,000,000"
Shalako,,,,,,,,,,,"$1,455,000"
Sheena,,,,,,,,,,,"$25,000,000"
Shine,,,,,,,,,,,"$5,500,000"
The Shining,,,,,,,,,,,"$19,000,000"
Haakon Haakonsen,,,,,,,,,,,"$8,500,000"
Ishtar,,,,,,,,,,,"$40,000,000"
Showgirls,,,,,,,,,,,"$40,000,000"
The Shawshank Redemption,,,,,,,,,,,"$25,000,000"
Silver Bullet,,,,,,,,,,,"$7,000,000"
Side Effects,,,,,,,,,,,"$200,000"
Set It Off,,,,,,,,,,,"$9,000,000"
The Silence of the Lambs,,,,,,,,,,,"$20,000,000"
Silver Medalist,,,,,,,,,,,"$2,600,000"
Silent Trigger,,,,,,,,,,,"$15,000,000"
Thinner,,,,,,,,,,,"$14,000,000"
Sling Blade,,,,,,,,,,,"$4,833,610"
Slacker,,,,,,,,,,,"$23,000"
Some Like it Hot,,,,,,,,,,,"$2,883,848"
The Scarlet Letter,,,,,,,,,,,"$50,000,000"
Silmido,,,,,,,,,,,"$8,500,000"
Sleeper,,,,,,,,,,,"$2,000,000"
Sleepers,,,,,,,,,,,"$44,000,000"
The Slaughter Rule,,,,,,,,,,,"$500,000"
Solomon and Sheba,,,,,,,,,,,"$5,000,000"
Sur Le Seuil,,,,,,,,,,,"$2,500,000"
The Usual Suspects,,,,,,,,,,,"$6,000,000"
Silverado,,,,,,,,,,,"$26,000,000"
Salvador,,,,,,,,,,,"$4,500,000"
"Sex, Lies, and Videotape",,,,,,,,,,,"$1,200,000"
Show Me,,,,,,,,,,,"$400,000"
Simon,,,,,,,,,,,"$1,300,000"
Super Mario Bros.,,,,,,,,,,,"$42,000,000"
Somewhere in Time,,,,,,,,,,,"$5,100,000"
Smoke Signals,,,,,,,,,,,"$2,000,000"
Serial Mom,,,,,,,,,,,"$13,000,000"
Sommersturm,,,,,,,,,,,"$3,000,000"
Silent Movie,,,,,,,,,,,"$4,400,000"
The Santa Clause,,,,,,,,,,,"$22,000,000"
The Singles Ward,,,,,,,,,,,"$500,000"
Sense and Sensibility,,,,,,,,,,,"$16,500,000"
Singin' in the Rain,,,,,,,,,,,"$2,540,000"
Solitude,,,,,,,,,,,"$200,000"
The Sound of Music,,,,,,,,,,,"$8,200,000"
She's the One,,,,,,,,,,,"$3,500,000"
Straight out of Brooklyn,,,,,,,,,,,"$450,000"
Spaceballs,,,,,,,,,,,"$22,700,000"
Speed,,,,,,,,,,,"$30,000,000"
Species,,,,,,,,,,,"$35,000,000"
Sphinx,,,,,,,,,,,"$10,000,000"
Spaced Invaders,,,,,,,,,,,"$3,000,000"
Spellbound,,,,,,,,,,,"$1,500,000"
Splash,,,,,,,,,,,"$8,000,000"
Superman IV: The Quest for Peace,,,,,,,,,,,"$17,000,000"
Superman II,,,,,,,,,,,"$50,000,000"
Superman III,,,,,,,,,,,"$39,000,000"
Sparkler,,,,,,,,,,,"$1,000,000"
The Specialist,,,,,,,,,,,"$45,000,000"
The Sorcerer,,,,,,,,,,,"$21,600,000"
Sisters in Law,,,,,,,,,,,"$300,000"
Smilla's Sense of Snow,,,,,,,,,,,"$35,000,000"
Assassins,,,,,,,,,,,"$50,000,000"
Star Trek: The Motion Picture,,,,,,,,,,,"$35,000,000"
Star Trek III: The Search for Spock,,,,,,,,,,,"$18,000,000"
Star Trek IV: The Voyage Home,,,,,,,,,,,"$24,000,000"
Stand by Me,,,,,,,,,,,"$8,000,000"
Stone Cold,,,,,,,,,,,"$25,000,000"
The Stewardesses,,,,,,,,,,,"$200,000"
Street Fighter,,,,,,,,,,,"$35,000,000"
Star Trek II: The Wrath of Khan,,,,,,,,,,,"$12,000,000"
Steal (Canadian Release),,,,,,,,,,,"$15,000,000"
Stonewall,,,,,,,,,,,"$2,000,000"
Star Trek V: The Final Frontier,,,,,,,,,,,"$30,000,000"
Star Trek VI: The Undiscovered Country,,,,,,,,,,,"$27,000,000"
Star Trek: Generations,,,,,,,,,,,"$38,000,000"
Stripes,,,,,,,,,,,"$10,000,000"
Striptease,,,,,,,,,,,"$50,000,000"
Star Wars Ep. IV: A New Hope,,,,,,,,,,,"$11,000,000"
Saints and Soldiers,,,,,,,,,,,"$780,000"
Steppin: The Movie,,,,,,,,,,,"$1,000,000"
Strangers on a Train,,,,,,,,,,,"$1,200,000"
Sugar Hill,,,,,,,,,,,"$10,000,000"
Stiff Upper Lips,,,,,,,,,,,"$5,700,000"
Shichinin no samurai,,,,,,,,,,,"$500,000"
Sweet Charity,,,,,,,,,,,"$20,000,000"
Sands of Iwo Jima,,,,,,,,,,,"$1,000,000"
The Spy Who Loved Me,,,,,,,,,,,"$14,000,000"
The Swindle,,,,,,,,,,,"$10,000,000"
Swingers,,,,,,,,,,,"$200,000"
Snow White and the Seven Dwarfs,,,,,,,,,,,"$1,488,000"
The Sweet Hereafter,,,,,,,,,,,"$5,000,000"
She Wore a Yellow Ribbon,,,,,,,,,,,"$1,600,000"
Sex with Strangers,,,,,,,,,,,"$1,100,000"
Spy Hard,,,,,,,,,,,"$18,000,000"
Shi Yue Wei Cheng,,,,,,,,,,,"$23,000,000"
Tango,,,,,,,,,,,"$4,500,000"
The Age of Innocence,,,,,,,,,,,"$34,000,000"
Talk Radio,,,,,,,,,,,"$4,000,000"
The Texas Chainsaw Massacre,,,,,,,,,,,"$140,000"
The Texas Chainsaw Massacre,,,,,,,,,,,"$9,000,000"
The Texas Chainsaw Massacre 2,,,,,,,,,,,"$4,700,000"
Timecop,,,,,,,,,,,"$28,000,000"
Tin Cup,,,,,,,,,,,"$45,000,000"
Torn Curtain,,,,,,,,,,,"$3,000,000"
To Die For,,,,,,,,,,,"$20,000,000"
Terror Train,,,,,,,,,,,"$3,500,000"
Teen Wolf Too,,,,,,,,,,,"$3,000,000"
The Fan,,,,,,,,,,,"$55,000,000"
Timber Falls,,,,,,,,,,,"$2,600,000"
Tae Guik Gi: The Brotherhood of War,,,,,,,,,,,"$12,500,000"
The Incredibly True Adventure of Two Girls in Love,,,,,,,,,,,"$250,000"
There Goes My Baby,,,,,,,,,,,"$10,500,000"
Tank Girl,,,,,,,,,,,"$25,000,000"
The Craft,,,,,,,,,,,"$15,000,000"
It Happened One Night,,,,,,,,,,,"$325,000"
The Net,,,,,,,,,,,"$22,000,000"
La otra conquista,,,,,,,,,,,"$3,500,000"
The Journey,,,,,,,,,,,"$500,000"
They Live,,,,,,,,,,,"$4,000,000"
Tales from the Hood,,,,,,,,,,,"$6,000,000"
Time Bandits,,,,,,,,,,,"$12,000,000"
Tombstone,,,,,,,,,,,"$25,000,000"
Time Changer,,,,,,,,,,,"$825,000"
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,,,,,,,,,,,"$25,000,000"
Teenage Mutant Ninja Turtles III,,,,,,,,,,,"$21,000,000"
Tango & Cash,,,,,,,,,,,"$55,000,000"
Teenage Mutant Ninja Turtles,,,,,,,,,,,"$13,500,000"
Topaz,,,,,,,,,,,"$4,000,000"
Taps,,,,,,,,,,,"$14,000,000"
Trainspotting,,,,,,,,,,,"$3,100,000"
The Train,,,,,,,,,,,"$5,800,000"
Troop Beverly Hills,,,,,,,,,,,"$18,000,000"
Trekkies,,,,,,,,,,,"$375,000"
True Lies,,,,,,,,,,,"$100,000,000"
Terminator 2: Judgment Day,,,,,,,,,,,"$100,000,000"
Travellers and Magicians,,,,,,,,,,,"$1,800,000"
The Terminator,,,,,,,,,,,"$6,400,000"
Tremors,,,,,,,,,,,"$10,000,000"
True Romance,,,,,,,,,,,"$12,500,000"
Tron,,,,,,,,,,,"$17,000,000"
Trapeze,,,,,,,,,,,"$4,000,000"
The Terrorist,,,,,,,,,,,"$25,000"
Trois,,,,,,,,,,,"$200,000"
Things to Do in Denver when You're Dead,,,,,,,,,,,"$15,000,000"
A Time to Kill,,,,,,,,,,,"$40,000,000"
Total Recall,,,,,,,,,,,"$65,000,000"
This Thing of Ours,,,,,,,,,,,"$2,000,000"
That Thing You Do!,,,,,,,,,,,"$2,500,000"
The Trouble With Harry,,,,,,,,,,,"$1,200,000"
Twins,,,,,,,,,,,"$15,000,000"
Towering Inferno,,,,,,,,,,,"$14,000,000"
Taxi Driver,,,,,,,,,,,"$1,000,000"
Tycoon,,,,,,,,,,,"$5,000,000"
Twilight Zone: The Movie,,,,,,,,,,,"$10,000,000"
Unforgettable,,,,,,,,,,,"$18,000,000"
UHF,,,,,,,,,,,"$5,000,000"
Ulee's Gold,,,,,,,,,,,"$2,700,000"
Under Siege 2: Dark Territory,,,,,,,,,,,"$60,000,000"
The Untouchables,,,,,,,,,,,"$25,000,000"
Under the Rainbow,,,,,,,,,,,"$20,000,000"
Veer-Zaara,,,,,,,,,,,"$7,000,000"
Videodrome,,,,,,,,,,,"$5,952,000"
Les Visiteurs,,,,,,,,,,,"$7,000,000"
"Couloirs du temps: Les visiteurs 2, Les",,,,,,,,,,,"$20,000,000"
The Valley of Decision,,,,,,,,,,,"$2,160,000"
Vampire in Brooklyn,,,,,,,,,,,"$14,000,000"
The Verdict,,,,,,,,,,,"$16,000,000"
Virtuosity,,,,,,,,,,,"$30,000,000"
Everything Put Together,,,,,,,,,,,"$500,000"
A View to a Kill,,,,,,,,,,,"$30,000,000"
The Work and the Glory: American Zion,,,,,,,,,,,"$6,500,000"
A Walk on the Moon,,,,,,,,,,,"$14,000,000"
The Work and the Glory,,,,,,,,,,,"$7,500,000"
The Work and the Story,,,,,,,,,,,"$103,000"
What the #$'! Do We Know,,,,,,,,,,,"$4,000,000"
Waiting for Guffman,,,,,,,,,,,"$4,000,000"
Who Framed Roger Rabbit?,,,,,,,,,,,"$70,000,000"
White Fang,,,,,,,,,,,"$14,000,000"
White Squall,,,,,,,,,,,"$38,000,000"
What's Eating Gilbert Grape,,,,,,,,,,,"$11,000,000"
Witchboard,,,,,,,,,,,"$2,000,000"
The Wiz,,,,,,,,,,,"$24,000,000"
Walking and Talking,,,,,,,,,,,"$1,000,000"
The Wild Bunch,,,,,,,,,,,"$6,000,000"
