Title,Year,Inflation_Rank,Adj. Domestic Lifetime Gross,Est. Num Tickets,Worldwide Rank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Production Budget
The Poseidon Adventure,1972,89,"$514,431,740 ","54,902,000",,,"$84,563,118 ",,,,"$5,000,000"
The Lord Of The Rings The Fellowship Of The Ring,2001,90,"$513,470,378 ","54,799,400",64,"$898,094,742","$316,115,420 ",35.0,"$581,979,322",65.0,"$109,000,000"
Twister,1996,91,"$512,427,497 ","54,688,100",224,"$494,471,524","$241,830,615 ",49.0,"$252,750,000",51.0,"$88,000,000"
Men In Black,1997,92,"$511,758,479 ","54,616,700",171,"$589,390,539","$250,690,539 ",43.0,"$338,700,000",56.99999999999999,"$90,000,000"
The Bridge On The River Kwai,1957,93,"$509,728,000 ","54,400,000",,,"$27,200,000 ",,,,"$3,000,000"
Transformers Revenge Of The Fallen,2009,94,"$505,051,433 ","53,900,900",82,"$836,303,693","$402,111,870 ",48.0,"$434,191,823",52.0,"$210,000,000"
ItS A Mad Mad Mad Mad World,1963,95,"$504,812,498 ","53,875,400",,,"$46,332,858 ",,,,"$9,400,000"
Swiss Family Robinson,1960,96,"$504,180,960 ","53,808,000",,,"$40,356,000 ",,,,"$5,000,000"
One Flew Over The CuckooS Nest,1975,97,"$503,032,198 ","53,685,400",,,"$108,981,275 ",,,,"$4,400,000"
MASH,1970,98,"$503,020,954 ","53,684,200",,,"$81,600,000 ",,,,"$3,500,000"
Indiana Jones And The Temple Of Doom,1984,99,"$501,602,336 ","53,532,800",442,"$333,107,271","$179,870,271 ",54.0,"$153,237,000",46.0,"$28,000,000"
Star Wars Episode Ii  Attack Of The Clones,2002,100,"$500,999,845 ","53,468,500",146,"$653,779,970","$310,676,740 ",48.0,"$343,103,230",52.0,"$115,000,000"
Avengers Age Of Ultron,2015,101,"$499,902,618 ","53,351,400",12,"$1,402,809,540","$459,005,868 ",33.0,"$943,803,672",67.0,$nan
Toy Story 3,2010,102,"$499,790,178 ","53,339,400",36,"$1,066,970,811","$415,004,880 ",39.0,"$651,965,931",61.0,"$200,000,000"
Mrs Doubtfire,1993,103,"$493,652,828 ","52,684,400",277,"$441,286,195","$219,195,243 ",50.0,"$222,090,952",50.0,$nan
Aladdin,1992,104,"$491,384,351 ","52,442,300",40,"$1,050,693,953","$217,350,219 ",34.0,"$695,134,737",66.0,"$28,000,000"
Ghost,1990,105,"$482,228,924 ","51,465,200",217,"$505,703,557","$217,631,306 ",43.0,"$288,072,251",56.99999999999999,"$22,000,000"
The Hunger Games Catching Fire,2013,106,"$478,943,802 ","51,114,600",76,"$865,011,746","$424,668,047 ",49.0,"$440,343,699",51.0,$nan
Duel In The Sun,1946,107,"$478,061,148 ","51,020,400",,,"$20,408,163 ",,,,$nan
Frozen Ii,2019,108,"$477,373,390 ","50,947,000",11,"$1,450,026,933","$477,373,578 ",33.0,"$972,653,355",67.0,$nan
The Hunger Games,2012,109,"$476,589,121 ","50,863,300",132,"$694,394,724","$408,010,692 ",59.0,"$286,384,032",41.0,$nan
Pirates Of The Caribbean The Curse Of The Black Pearl,2003,110,"$474,580,193 ","50,648,900",145,"$654,264,015","$305,413,918 ",47.0,"$348,850,097",53.0,$nan
House Of Wax,1953,111,"$473,483,903 ","50,531,900",,,"$23,750,000 ",,,,$nan
Rear Window,1954,112,"$471,823,539 ","50,354,700",,,"$36,764,313 ",,,,$nan
The Lost World Jurassic Park,1997,113,"$467,656,700 ","49,910,000",161,"$618,638,999","$229,086,679 ",37.0,"$389,552,320",63.0,$nan
Monsters Inc,2001,114,"$463,113,187 ","49,425,100",177,"$579,707,738","$290,642,256 ",50.0,"$289,065,482",50.0,$nan
Indiana Jones And The Last Crusade,1989,115,"$463,032,605 ","49,416,500",242,"$474,171,806","$197,171,806 ",42.0,"$277,000,000",57.99999999999999,$nan
Frozen,2013,116,"$459,728,743 ","49,063,900",17,"$1,281,508,100","$400,953,009 ",31.0,"$880,555,091",69.0,$nan
SpiderMan 3,2007,117,"$458,326,991 ","48,914,300",66,"$894,983,373","$336,530,303 ",38.0,"$558,453,070",62.0,$nan
Iron Man 3,2013,118,"$457,717,941 ","48,849,300",21,"$1,214,811,252","$409,013,994 ",34.0,"$805,797,258",66.0,$nan
Terminator 2 Judgment Day,1991,119,"$456,999,262 ","48,772,600",214,"$520,881,154","$205,881,154 ",40.0,"$315,000,000",60.0,$nan
Harry Potter And The Deathly Hallows Part 2,2011,120,"$451,701,464 ","48,207,200",14,"$1,342,321,665","$381,447,587 ",28.0,"$960,912,355",72.0,$nan
